Names	Genes	amr_gene_family	drug_class	resistance_mechanism	Description	Amblerclass	Subfamily	Note	Source
TriA	ARO:3003679	resistance-nodulation-cell division (RND) efflux pump	triclosan	efflux	TriA is a membrane protein that is fused to TriB and both are required for the triclosan efflux pump function of TriABC-OpmH in P. aeruginosa.				
TriB	ARO:3003680	resistance-nodulation-cell division (RND) efflux pump	triclosan	efflux	TriB is a membrane protein that is fused to TriA and both are required for the triclosan efflux pump function of TriABC-OpmH in P. aeruginosa.				
TriC	ARO:3003681	resistance-nodulation-cell division (RND) efflux pump	triclosan	efflux	TriC is a resistance nodulation cell division (RND) transporter that is a part of TriABC-OpmH, a triclosan-specific efflux protein.				
Type-A-NfxB	ARO:3004059	resistance-nodulation-cell division (RND) efflux pump	macrolide;fluoroquinolone;aminoglycoside;cephalosporin;penam;tetracycline;aminocoumarin;diaminopyrimidine;phenicol	efflux	Type A NfxB mutants are four to eight times more resistant to ofloxacin, erythromycin, and new zwitterionic cephems, i.e., cefpirome, cefclidin, cefozopran, and cefoselis, than the parent strain, PAO1. nfxB corresponds to 2 loci in P. aeruginosa PAO1 (gene name: esrC/nfxB) and 2 loci in P. aeruginosa LESB58 (gene name: nfxB).				
Type-A-NfxB	ARO:3004059	resistance-nodulation-cell division (RND) efflux pump	macrolide;fluoroquinolone;cephalosporin;penam;tetracycline;aminocoumarin;diaminopyrimidine;phenicol	efflux	Type A NfxB mutants are four to eight times more resistant to ofloxacin, erythromycin, and new zwitterionic cephems, i.e., cefpirome, cefclidin, cefozopran, and cefoselis, than the parent strain, PAO1. nfxB corresponds to 2 loci in P. aeruginosa PAO1 (gene name: esrC/nfxB) and 2 loci in P. aeruginosa LESB58 (gene name: nfxB).				
Type-B-NfxB	ARO:3004060	resistance-nodulation-cell division (RND) efflux pump	macrolide;fluoroquinolone;aminoglycoside;cephalosporin;penam;tetracycline;aminocoumarin;diaminopyrimidine;phenicol	efflux	Type B NfxB mutants are more resistant to tetracycline and chloramphenicol, as well as ofloxacin, erythromycin, and the new zwitterionic cephems, than was PAO1, and they are four to eight times more susceptible to carbenicillin, sulbenicillin, imipenam, panipenam, biapenam, moxalactam, aztreonam, gentamicin, and kanamycin than PAO1. The mutation at the 46th amino acid position is sufficient for overproduction of OprJ and the multidrug resistance. nfxB corresponds to 2 loci in P. aeruginosa PAO1 (gene name: esrC/nfxB) and 2 loci in P. aeruginosa LESB58 (gene name: nfxB).				
marA	ARO:3000263	resistance-nodulation-cell division (RND) efflux pump;General Bacterial Porin w/ reduced permeability to beta-lactams	fluoroquinolone;monobactam;carbapenam;cephalosporin;glycylcycline;cephamycin;penam;tetracycline;rifamycin;phenicol;triclosan;penam	efflux;reduced permeability to	In the presence of stress, E. coli overexpresses the global activator protein MarA, which besides inducing MDR efflux pump AcrAB, also down- regulates synthesis of the porin OmpF.				
ramA	ARO:3000823	resistance-nodulation-cell division (RND) efflux pump;General Bacterial Porin w/ reduced permeability to beta-lactams	fluoroquinolone;monobactam;carbapenam;cephalosporin;glycylcycline;cephamycin;penam;tetracycline;rifamycin;phenicol;triclosan;penam	efflux;reduced permeability to	RamA (resistance multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae, Salmonella enterica, and Enterobacter aerugenes, increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.				
fabI	ARO:3004045	resistant fabI	isoniazid;triclosan	target alteration	fabI is a enoyl-acyl carrier reductase used in lipid metabolism and fatty acid biosynthesis. The bacterial biocide Triclosan blocks the final reduction step in fatty acid elongation, inhibiting biosynthesis. Point mutations in fabI can confer resistance to Triclosan and Isoniazid				
fusA	ARO:3003735	resistant fusA	fusidic acid	target alteration	The mutations to this gene are involved in altering the translation elongation factor G (EF-G) in association w/ the ribosome to prevent fusidic acid from binding EF-G and preventing translation.				
fusE	ARO:3003737	resistant fusE	fusidic acid	target alteration	The mutations to the rplF gene encoding riboprotein L6 have been shown to cause fusidic acid resistance, demonstrating a potential secondary site of action of the that is blocked through these mutations. Several types of mutations have been identified that cause resistance, including SNPs, frameshift mutations and early stop codons.				
gidB	ARO:3003470	resistant gidB	aminoglycoside	target alteration	Specific mutations that occurs on M.tuberculosis gidB causing it to be streptomycin resistant				
inhA	ARO:3003393	resistant inhA	isoniazid;triclosan	target alteration	inhA is a enoyl-acyl carrier reductase used in lipid metabolism and farry acid biosynthesis. It is inhibited by isoniazid. mutations in the promoter region or multiple copies of the inhA shows marked resistance to isoniazid mediated inhibition of mycolic acid biosynthesis.				
ileS	ARO:3003730	resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	target alteration	Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin.				
ileS	ARO:3003729	resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	target alteration	Point mutations to the isoleucyl-tRNA synthetase (ileS) in S.aureus that confer resistance to mupirocin.				
mupA	ARO:3000521	resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	target alteration	An alternative isoleucyl-tRNA synthetase conferring resistance to mupirocin.				
mupB	ARO:3000510	resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	target alteration	An alternative isoleucyl-tRNA synthetase conferring resistance to mupirocin.				
kasA	ARO:3003463	resistant kasA	isoniazid	target alteration	Specific mutations on the M.tuberculosis kasA gene resulting in lowered affinity of isoniazid, resulting in resistance				
ndh	ARO:3003461	resistant ndh	isoniazid	target alteration	Point mutations in the M.tuberculosis ndh gene shown clinically to confer resistance to isoniazid.				
ndh	ARO:3003779	resistant ndh	isoniazid	target alteration	Mutations in the M.tuberculosis variant bovis ndh gene that results in increased resistance to isoniazid.				
ndh	ARO:3003778	resistant ndh	isoniazid	target alteration	Mutations in the Mycolicibacterium smegmatis ndh gene that results in increased resistance to isoniazid.				
nfsA	ARO:3003751	resistant nfsA	nitrofuran	target alteration	nfsA encodes the major oxygen-insesitive nitroreductase in E. coli. The first step of resistance to nitrofurazone is mutation of nfsA.				
nfsB	ARO:3003756	resistant nfsB	nitrofuran	target alteration	nfsB encodes the minor oxygen-insesitive nitroreductase in E. coli. The first step of resistance to nitrofurazone is mutation of nfsA, while the increased resistance associated w/ second step mutants is a consequence of nfsB mutation.				
rpsL	ARO:3003395	resistant rpsL	aminoglycoside	target alteration	Ribosomal protein S12 stabilizes the highly conserved				
tlyA	ARO:3003445	resistant tlyA	aminoglycoside	target alteration	Specific mutations that arise in M.tuberculosis tlyA resulting in aminoglycosides resistance				
arr-1	ARO:3002846	rifampin ADP-ribosyltransferase (Arr)	rifamycin	inactivation	arr-1 is a chromosome-encoded ribosyltransferase found in Mycolicibacterium smegmatis				
arr-2	ARO:3002847	rifampin ADP-ribosyltransferase (Arr)	rifamycin	inactivation	arr-2 is an integron-encoded ribosyltransferase found in P. aeruginosa				
arr-3	ARO:3002848	rifampin ADP-ribosyltransferase (Arr)	rifamycin	inactivation	arr-3 is a plasmid-encoded ribosyltransferase found in Vibrio fluvialis				
arr-4	ARO:3002849	rifampin ADP-ribosyltransferase (Arr)	rifamycin	inactivation	arr-4 is an integron-encoded ribosyltransferase found in P. aeruginosa				
arr-5	ARO:3002850	rifampin ADP-ribosyltransferase (Arr)	rifamycin	inactivation	arr-5 is an integron-encoded ribosyltransferase found in P. aeruginosa				
arr-7	ARO:3002852	rifampin ADP-ribosyltransferase (Arr)	rifamycin	inactivation	arr-7 is an integron-encoded ribosyltransferase found in P. aeruginosa				
arr-8	ARO:3002853	rifampin ADP-ribosyltransferase (Arr)	rifamycin	inactivation	arr-8 is an integron-encoded ribosyltransferase found in Klebsiella oxytoca				
rgt1438	ARO:3002883	rifampin glycosyltransferase	rifamycin	inactivation	rgt1438 is a glycosyltransferase that confers rifampin resistance in Streptomyces				
iri	ARO:3002884	rifampin monooxygenase	rifamycin	inactivation	iri is a monooxygenase that confers resistance to rifampin found in Rhodococcus hoagii				
rphA	ARO:3000444	rifampin phosphotransferase	rifamycin	inactivation	The enzymatic inactivation of rifampin by phosphorylation at the 21-OH position.				
rphB	ARO:3003992	rifampin phosphotransferase	rifamycin	inactivation	rphB is a rifampin phosphotransferase protein found in Paenibacillus sp. LC231, a strain of Paenibacillus isolated from Lechuguilla Cave, NM, USA. Confers resistance to rifamycins, specifically rifampin, through rifampin inactivation. Described by Pawlowski et al. 2016.				
embB	ARO:3003465	rifamycin-resistant arabinosyltransferase	rifamycin	target alteration	Specific mutations that occurs on M.tuberculosis embB causing it to be rifampicin resistant				
rpoB	ARO:3004480	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin	target alteration;target replacement	Bifidobacterium are resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However, horizontal gene transfer among gut microbes could create harmful-resistant pathogenic bacteria, such as M.tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis, B. longum and B. adolescentis showed considerable resistance to pyrazinamide, isoniazid, and streptomycin, while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets, and also showed considerable resistance to RIF.				
rpoB	ARO:3004563	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin	target alteration;target replacement	Point mutations in the rpoB region of Clostridioides difficilewhich confer resistance to rifampin and rifampicins				
rpoB	ARO:3003288	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin	target alteration;target replacement	Point mutations that occurs in E.coli rpoB resulting in resistance to rifampicin				
rpoB	ARO:3003283	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin	target alteration;target replacement	Point mutations that occurs in M.tuberculosis rpoB resulting in resistance to rifampicin.				
rpoB	ARO:3003284	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin	target alteration;target replacement	Point mutations that occurs in Mycobacterium leprae rpoB resulting in resistance to rifampicin				
rpoB2	ARO:3000501	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin	target alteration;target replacement	Due to gene duplication, the genomes of Nocardia species include both rifampin-sensitive beta-subunit of RNA polymerase (rpoB) and rifampin-resistant beta-subunit of RNA polymerase (rpoB2) genes, w/ ~88% similarity between the two gene products. Expression of the rpoB2 variant results in replacement of rifampin sensitivity w/ rifampin resistance.				
rpoB	ARO:3003287	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin	target alteration;target replacement	Point mutations that occurs in S.aureus rpoB resulting in resistance to daptomycin				
rpoB	ARO:3003285	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin	target alteration;target replacement	Point mutations that occurs in S.aureus rpoB resulting in resistance to rifampicin				
Rm3	ARO:3003894	Rm3 family beta-lactamase	carbapenam;cephalosporin;penam	inactivation	Rm3 is a class B3 metallo-beta-lactamase isolated from a metagenomic soil sample in Yorkshire, United Kingdom, shown to confer resistance to clinically used penicillins, cephalosporins, and carbapenams.				
ROB-1	ARO:3002995	ROB beta-lactamase	cephalosporin;penam	inactivation	ROB-1 is a beta-lactamase found in Pasteurella and Haemophilus	A		broadspectrum	AandN (Actinobacilluspleuropneumoniae)
RSA-1	ARO:3004444	RSA beta-lactamase	carbapenam;cephalosporin	inactivation	RSA-1 is a class A beta-lactamase resistance enzyme identified from a functional metagenomic study of contaminated river sediments.				
RSA-2	ARO:3004445	RSA beta-lactamase	carbapenam;cephalosporin	inactivation	RSA-2 is a class A beta-lactamase enzyme identified from a functional metagenomics study of contaminated river sediments in India.				
Sed-1	ARO:3003561	Sed beta-lactamase	cephalosporin;penam	inactivation	Sed-1 is a chromosomal-encoded class A beta-lactamase identified in Citrobacter sedlakii.				
SFH-1	ARO:3000849	SFH beta-lactamase	carbapenam	inactivation	SFH-1 confers resistance to carbapenams in Serratia fonticola.	B2		Carbapenemase	N (Serratiafonticola)
SHV-1	ARO:3001059	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-1 is a broad-spectrum beta-lactamase found in Klebsiella spp., as well as A. spp., E. coli., Raoultella terrigena, and Yersinia pestis.	A	SHV-like	ESBL	A
SHV-100	ARO:3001338	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-100 is a beta-lactamase found in Klebsiella pneumoniae. It differs from SHV-1 by a 35SESQLSGRVGMIE36 insertion.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-101	ARO:3001150	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-101 is a beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-102	ARO:3001151	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-102 is an extended spectrum beta-lactamase found in E. coli.	A	SHV-like	ESBL	N (Escherichiacoli)
SHV-103	ARO:3001152	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-103 is a beta-lactamase that has been found in clinical isolates.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-104	ARO:3001153	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-104 is an extended-spectrum beta-lactamase that has been found in clinical isolates.	A	SHV-like	ESBL	A
SHV-105	ARO:3001154	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-105 is an extended-spectrum beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like	ESBL	N (Klebsiellapneumoniae)
SHV-106	ARO:3001155	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-106 is an extended-spectrum beta-lactamase that has been found in clinical isolates.	A	SHV-like	ESBL	N (Klebsiellapneumoniae)
SHV-107	ARO:3001156	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-107 is an inhibitor-resistant beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like	broadspectrum	N (Klebsiellapneumoniae)
SHV-108	ARO:3001157	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-108 is a beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-109	ARO:3001158	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-109 is a broad-spectrum beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like	broadspectrum	N (Klebsiellapneumoniae)
SHV-11	ARO:3001070	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-11 is a broad-spectrum beta-lactamase found in E. coli, Klebsiella pneumoniae, Proteus mirabilis, and Shigella dysenteriae.	A	SHV-like	ESBL	A
SHV-110	ARO:3001159	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-110 is a beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like	ESBL	N (Klebsiellapneumoniae)
SHV-111	ARO:3001160	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-111 is a beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-112	ARO:3001161	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-112 is a beta-lactamase that has been found in clinical isolates.	A			
SHV-119	ARO:3001340	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases. Not yet released.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-12	ARO:3001071	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-12 is an extended-spectrum beta-lactamase found in A. baumannii.				
SHV-120	ARO:3001167	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-120 is a beta-lactamase that has been found in clinical isolates.	A	SHV-like		A
SHV-121	ARO:3001168	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-121 is a beta-lactamase that has been found in clinical isolates. Identical to SHV-136.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-122	ARO:3001169	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-122 is a beta-lactamase that has been found in clinical isolates.				
SHV-123	ARO:3001170	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-123 is a beta-lactamase that has been found in clinical isolates.	A			
SHV-124	ARO:3001171	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-124 is a beta-lactamase that has been found in clinical isolates.	A			
SHV-125	ARO:3001172	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-125 is a beta-lactamase that has been found in clinical isolates.	A			
SHV-126	ARO:3001173	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-126 is a beta-lactamase that has been found in clinical isolates.	A			
SHV-127	ARO:3001174	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-127 is a beta-lactamase that has been found in clinical isolates.	A			
SHV-128	ARO:3001175	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-128 is an extended-spectrum beta-lactamase that has been found in clinical isolates.	A	SHV-like	ESBL	A
SHV-129	ARO:3001176	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-129 is an extended-spectrum beta-lactamase that has been found in clinical isolates.	A	SHV-like	ESBL	A
SHV-13	ARO:3001072	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-13 is an extended-spectrum beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like	ESBL	N (Klebsiellapneumoniae)
SHV-133	ARO:3001177	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-133 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-134	ARO:3001178	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-134 is an extended-spectrum beta-lactamase.	A	SHV-like	ESBL	N (Klebsiellapneumoniae)
SHV-135	ARO:3001179	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-135 is a beta-lactamase.	A	SHV-like		N (Escherichiacoli)
SHV-137	ARO:3001181	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-137 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-14	ARO:3001073	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-14 is an broad-spectrum beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like	broadspectrum	N (Klebsiellapneumoniae)
SHV-140	ARO:3001182	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-140 is a broad-spectrum beta-lactamase.	A			
SHV-141	ARO:3001183	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-141 is a broad-spectrum beta-lactamase.	A	SHV-like	broadspectrum	N (Klebsiellapneumoniae)
SHV-142	ARO:3001184	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-142 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-143	ARO:3001344	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-144	ARO:3001345	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-144 is a beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-145	ARO:3001185	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-145 is a beta-lactamase.	A	SHV-like	ESBL	N (Klebsiellapneumoniae)
SHV-147	ARO:3001186	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-147 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-148	ARO:3001187	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-148 is a beta-lactamase.	A	SHV-like	ESBL	N (Klebsiellapneumoniae)
SHV-149	ARO:3001188	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-149 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-15	ARO:3001074	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-15 is an extended-spectrum beta-lactamase found in E. coli.	A	SHV-like	ESBL	N (Escherichiacoli)
SHV-150	ARO:3001189	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-150 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-151	ARO:3001190	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-151 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-152	ARO:3001191	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-152 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-153	ARO:3001192	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-153 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-154	ARO:3001193	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-154 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-155	ARO:3001194	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-155 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-156	ARO:3001195	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-156 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-157	ARO:3001196	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-157 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-158	ARO:3001197	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-158 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-159	ARO:3001198	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-159 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-16	ARO:3001075	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-16 is an extended-spectrum beta-lactamase that has been found in clinical isolates. It differs from SHV-1 by a 163DRWET167 insertion.	A	SHV-like	ESBL	N (Klebsiellapneumoniae)
SHV-160	ARO:3001199	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-160 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-161	ARO:3001200	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-161 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-162	ARO:3001201	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-162 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-163	ARO:3001202	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-163 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-164	ARO:3001347	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like	broadspectrum	N (Klebsiellapneumoniae)
SHV-165	ARO:3001203	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-165 is a beta-lactamase.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-167	ARO:3001204	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-167 is a beta-lactamase.	A			
SHV-168	ARO:3001352	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-172	ARO:3001356	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-173	ARO:3001357	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-178	ARO:3001361	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-179	ARO:3001362	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-18	ARO:3001076	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-18 is an extended-spectrum beta-lactamase found in A. baumannii and Klebsiella pneumoniae.	A	SHV-like	ESBL	N (Acinetobacterbaumannii)
SHV-180	ARO:3001350	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases. Not yet released.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-182	ARO:3001364	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-183	ARO:3001351	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases. Not yet released.	A	SHV-like	ESBL	N (Enterobactercloacae)
SHV-185	ARO:3003152	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-186	ARO:3003153	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-187	ARO:3003154	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-188	ARO:3003155	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-189	ARO:3003156	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	From the Lahey list of beta-lactamases.	A	SHV-like		N (Klebsiellapneumoniae)
SHV-19	ARO:3001077	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-19 is a broad-spectrum beta-lactamase that has been found in clinical isolates.	A			
SHV-2	ARO:3001060	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-2 is an extended-spectrum beta-lactamase found in E. coli., Klebsiella pneumoniae, and Shigella flexneri.	A	SHV-like	ESBL	A
SHV-20	ARO:3001078	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-20 is a broad-spectrum beta-lactamase that has been found in clinical isolates.	A			
SHV-21	ARO:3001079	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-21 is a broad-spectrum beta-lactamase that has been found in clinical isolates.	A			
SHV-22	ARO:3001080	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-22 is a broad-spectrum beta-lactamase that has been found in clinical isolates.	A			
SHV-23	ARO:3001081	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-23 is an extended-spectrum beta-lactamase that has been found in clinical isolates.	A			
SHV-24	ARO:3001082	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-24 is an extended-spectrum beta-lactamase found in E. coli.	A	SHV-like	ESBL	N (Escherichiacoli)
SHV-25	ARO:3001083	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-25 is a broad-spectrum beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like	broadspectrum	N (Klebsiellapneumoniae)
SHV-26	ARO:3001084	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-26 is an inhibitor-resistant beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like	broadspectrum	N (Klebsiellapneumoniae)
SHV-27	ARO:3001085	SHV beta-lactamase	carbapenam;cephalosporin;penam	inactivation	SHV-27 is an extended-spectrum beta-lactamase found in Klebsiella pneumoniae.	A	SHV-like	ESBL	N (Klebsiellapneumoniae)
